,National №,Type,Species,Height,Weight,Abilities,Local №
Bulbasaur,001,Grass Poison,Seed Pokémon,0.7 m (2′04″),6.9 kg (15.2 lbs),Overgrow Chlorophyll,001  226  001  231  080  001 
Ivysaur,002,Grass Poison,Seed Pokémon,1.0 m (3′03″),13.0 kg (28.7 lbs),Overgrow Chlorophyll,002  227  002  232  081  002 
Venusaur,003,Grass Poison Grass Poison,Seed Pokémon,2.0 m (6′07″) 2.4 m (7′10″),100.0 kg (220.5 lbs) 155.5 kg (342.8 lbs),Overgrow Chlorophyll Thick Fat,003  228  003  233  082  003  003  228  003  233  082  003 
Charmander,004,Fire,Lizard Pokémon,0.6 m (2′00″),8.5 kg (18.7 lbs),Blaze Solar Power,004  229  004  234  083  004  378 
Charmeleon,005,Fire,Flame Pokémon,1.1 m (3′07″),19.0 kg (41.9 lbs),Blaze Solar Power,005  230  005  235  084  005  379 
Charizard,006,Fire Flying Fire Dragon Fire Flying,Flame Pokémon,1.7 m (5′07″),90.5 kg (199.5 lbs) 110.5 kg (243.6 lbs) 100.5 kg (221.6 lbs),Blaze Solar Power Tough Claws Drought,006  231  006  236  085  006  380  006  231  006  236  085  006  380  006  231  006  236  085  006  380 
Squirtle,007,Water,Tiny Turtle Pokémon,0.5 m (1′08″),9.0 kg (19.8 lbs),Torrent Rain Dish,007  232  007  237  086  007 
Wartortle,008,Water,Turtle Pokémon,1.0 m (3′03″),22.5 kg (49.6 lbs),Torrent Rain Dish,008  233  008  238  087  008 
Blastoise,009,Water,Shellfish Pokémon,1.6 m (5′03″),85.5 kg (188.5 lbs) 101.1 kg (222.9 lbs),Torrent Rain Dish Mega Launcher,009  234  009  239  088  009  009  234  009  239  088  009 
Caterpie,010,Bug,Worm Pokémon,0.3 m (1′00″),2.9 kg (6.4 lbs),Shield Dust Run Away,010  024  010  024  023  017  017  010  013 
Metapod,011,Bug,Cocoon Pokémon,0.7 m (2′04″),9.9 kg (21.8 lbs),Shed Skin,011  025  011  025  024  018  018  011  014 
Butterfree,012,Bug Flying,Butterfly Pokémon,1.1 m (3′07″),32.0 kg (70.5 lbs),Compound Eyes Tinted Lens,012  026  012  026  025  019  019  012  015 
Weedle,013,Bug Poison,Hairy Bug Pokémon,0.3 m (1′00″),3.2 kg (7.1 lbs),Shield Dust Run Away,013  027  013  027  026  013 
Kakuna,014,Bug Poison,Cocoon Pokémon,0.6 m (2′00″),10.0 kg (22.0 lbs),Shed Skin,014  028  014  028  027  014 
Beedrill,015,Bug Poison Bug Poison,Poison Bee Pokémon,1.0 m (3′03″) 1.4 m (4′07″),29.5 kg (65.0 lbs) 40.5 kg (89.3 lbs),Swarm Sniper Adaptability,015  029  015  029  028  015  015  029  015  029  028  015 
Pidgey,016,Normal Flying,Tiny Bird Pokémon,0.3 m (1′00″),1.8 kg (4.0 lbs),Keen Eye Tangled Feet Big Pecks,016  010  016  010  017  016 
Pidgeotto,017,Normal Flying,Bird Pokémon,1.1 m (3′07″),30.0 kg (66.1 lbs),Keen Eye Tangled Feet Big Pecks,017  011  017  011  018  017 
Pidgeot,018,Normal Flying Normal Flying,Bird Pokémon,1.5 m (4′11″) 2.2 m (7′03″),39.5 kg (87.1 lbs) 50.5 kg (111.3 lbs),Keen Eye Tangled Feet Big Pecks No Guard,018  012  018  012  019  018  018  012  018  012  019  018 
Rattata,019,Normal Dark Normal,Mouse Pokémon,0.3 m (1′00″),3.5 kg (7.7 lbs) 3.8 kg (8.4 lbs),Run Away Guts Hustle Gluttony Hustle Thick Fat,019  017  019  017  059  015  015  019  019  017  019  017  059  015  015  019 
Raticate,020,Normal Dark Normal,Mouse Pokémon,0.7 m (2′04″),18.5 kg (40.8 lbs) 25.5 kg (56.2 lbs),Run Away Guts Hustle Gluttony Hustle Thick Fat,020  018  020  018  060  016  016  020  020  018  020  018  060  016  016  020 
Spearow,021,Normal Flying,Tiny Bird Pokémon,0.3 m (1′00″),2.0 kg (4.4 lbs),Keen Eye Sniper,021  013  021  013  109  073  087  021 
Fearow,022,Normal Flying,Beak Pokémon,1.2 m (3′11″),38.0 kg (83.8 lbs),Keen Eye Sniper,022  014  022  014  110  074  088  022 
